a,count
3.8320000000000016,6
3.836000000000002,6
3.8400000000000016,4
3.844000000000002,6
3.8480000000000016,8
3.852000000000002,9
3.8560000000000016,11
3.860000000000002,2
3.8640000000000017,3
3.868000000000002,6
3.8720000000000017,3
3.876000000000002,5
3.8800000000000017,12
3.884000000000002,7
3.8880000000000017,5
3.892000000000002,13
3.8960000000000017,5
3.900000000000002,13
3.9040000000000017,22
3.908000000000002,37
3.9120000000000017,53
3.916000000000002,68
3.9200000000000017,84
3.924000000000002,117
3.9280000000000017,143
3.932000000000002,176
3.9360000000000017,215
3.940000000000002,258
3.9440000000000017,329
3.948000000000002,357
3.9520000000000017,363
3.956000000000002,389
3.9600000000000017,362
3.964000000000002,374
3.9680000000000017,357
3.972000000000002,382
3.9760000000000018,378
3.980000000000002,348
3.9840000000000018,273
3.988000000000002,268
3.9920000000000018,199
3.996000000000002,152
4.000000000000002,111
4.004000000000002,69
4.008000000000002,55
4.012000000000002,52
4.016000000000002,47
4.020000000000002,27
4.024000000000002,20
4.028000000000002,15
4.032000000000002,7
4.036000000000002,2
4.040000000000002,6
4.044000000000002,1
4.048000000000002,0
4.052000000000002,2
4.056000000000002,2
4.060000000000002,1
4.064000000000002,2
4.068000000000002,2
4.072000000000002,0
4.076000000000002,2
4.080000000000002,0
4.084000000000002,1
4.088000000000002,3
4.092000000000002,2
4.096000000000002,2
