ageGyr,logL/Lsun,logR/Rsun,L/Lsun,R/Rsun,logTeff,Teff,logTcore,logrho_core,logPcore,Xcore,Ycore,Zcore
9.82358439E-05,9.03698599E-01,6.85987763E-01,8.01121890664226,4.85274826509884,3.64455808E+00,4411.21352162563,6.20999836E+00,-1.09633331E+00,1.32404568E+01,7.07847377E-01,2.73338589E-01,1.87845200E-02
1.06277570E-04,8.86794165E-01,6.76564285E-01,7.70538183929659,4.74858575105012,3.64504371E+00,4416.14891886635,6.21916647E+00,-1.06880495E+00,1.32771641E+01,7.07847374E-01,2.73338585E-01,1.87845200E-02
1.14834509E-04,8.69850176E-01,6.67147241E-01,7.41054546341627,4.64672788827146,3.64551624E+00,4420.95648283218,6.22833295E+00,-1.04128272E+00,1.33138644E+01,7.07847370E-01,2.73338580E-01,1.87845200E-02
1.23945991E-04,8.52870079E-01,6.57738857E-01,7.12639809073182,4.54714556256841,3.64597540E+00,4425.63303276877,6.23749551E+00,-1.01377361E+00,1.33505483E+01,7.07847365E-01,2.73338572E-01,1.87845200E-02
1.33656955E-04,8.35854288E-01,6.48342341E-01,6.85258273942885,4.44981894815886,3.64641971E+00,4430.16304474908,6.24665096E+00,-9.86287262E-01,1.33872033E+01,7.07847357E-01,2.73338560E-01,1.87845200E-02
1.44019986E-04,8.18813153E-01,6.38961762E-01,6.58890359120564,4.35473530186814,3.64684972E+00,4434.55167484224,6.25579514E+00,-9.58835140E-01,1.34238126E+01,7.07847345E-01,2.73338544E-01,1.87845200E-02
1.55097681E-04,8.01752139E-01,6.29603263E-01,6.33508051686907,4.26190007520499,3.64726372E+00,4438.78101646307,6.26492195E+00,-9.31434915E-01,1.34603520E+01,7.07847328E-01,2.73338520E-01,1.87845200E-02
1.66967345E-04,7.84686533E-01,6.20274667E-01,6.09097101729187,4.17133113457399,3.64766161E+00,4442.84958272303,6.27402366E+00,-9.04109695E-01,1.34967905E+01,7.07847303E-01,2.73338486E-01,1.87845200E-02
1.79726392E-04,7.67636954E-01,6.10986959E-01,5.8564839039236,4.08307125497264,3.64804307E+00,4446.75364778901,6.28308951E+00,-8.76891632E-01,1.35330851E+01,7.07847268E-01,2.73338437E-01,1.87845200E-02
1.89933630E-04,7.54773373E-01,6.04002530E-01,5.68556164921135,4.01793151504313,3.64831939E+00,4449.5837964348,6.28990978E+00,-8.56415654E-01,1.35603893E+01,7.07847230E-01,2.73338367E-01,1.87845200E-02
1.98099419E-04,7.44964653E-01,5.98688208E-01,5.55859014355771,3.96906497024849,3.64852437E+00,4451.68442400662,6.29510069E+00,-8.40832358E-01,1.35811704E+01,7.07847193E-01,2.73338291E-01,1.87845200E-02
2.05048196E-04,7.36955596E-01,5.94357340E-01,5.45702063483348,3.92968138861555,3.64868754E+00,4453.35729310862,6.29933193E+00,-8.28130719E-01,1.35981094E+01,7.07847155E-01,2.73338217E-01,1.87845200E-02
2.11517233E-04,7.29786089E-01,5.90486513E-01,5.36767347415023,3.89481212190372,3.64883058E+00,4454.82430033149,6.30311438E+00,-8.16776730E-01,1.36132518E+01,7.07847116E-01,2.73338142E-01,1.87845200E-02
2.17709843E-04,7.23180485E-01,5.86924721E-01,5.28664909786868,3.86300011434536,3.64896007E+00,4456.15275655029,6.30659538E+00,-8.06327576E-01,1.36271874E+01,7.07847073E-01,2.73338062E-01,1.87845200E-02
2.23733548E-04,7.16990820E-01,5.83592630E-01,5.21183694347833,3.83347495276864,3.64907870E+00,4457.37014620113,6.30985242E+00,-7.96550573E-01,1.36402263E+01,7.07847027E-01,2.73337977E-01,1.87845200E-02
2.29664091E-04,7.11123478E-01,5.80437261E-01,5.14189824533729,3.80572375426717,3.64918955E+00,4458.50799750716,6.31293713E+00,-7.87290794E-01,1.36525753E+01,7.07846977E-01,2.73337885E-01,1.87845200E-02
