ageGyr,Lsun,ppI,ppII,ppIII,CNO,3Alpha,HeC,KH,ppTotal,HHe
2.66245132E-04,4.781839829,0.265565936,6.22366973099461e-26,0,1.39729644016409e-26,0,0,0.734434062,0.265565936,0.265565936
2.72979407E-04,4.727228148,0.287277804,7.88074639730195e-26,0,1.77700633145489e-26,0,0,0.712722197,0.287277804,0.287277804
2.80065575E-04,4.673162005,0.310101021,9.98747489429749e-26,0,2.2594320053826e-26,0,0,0.689898982,0.310101021,0.310101021
2.87599413E-04,4.619202122,0.334089568,1.26918367626656e-25,0,2.8773355333598e-26,0,0,0.665910432,0.334089568,0.334089568
2.95709462E-04,4.564887479,0.359292435,1.62099742953097e-25,0,3.6779956299543e-26,0,0,0.640707565,0.359292435,0.359292435
3.04574090E-04,4.509634341,0.385747799,2.08712928101827e-25,0,4.73254742751131e-26,0,0,0.614252203,0.385747799,0.385747799
3.14456466E-04,4.452553003,0.413481472,2.72088116447549e-25,0,6.154586678887e-26,0,0,0.586518527,0.413481472,0.413481472
3.25776037E-04,4.392399081,0.442471373,3.61571280464073e-25,0,8.14065984014673e-26,0,0,0.557528627,0.442471373,0.442471373
3.39267954E-04,4.326967976,0.472597755,4.95546006308472e-25,0,1.10723354238359e-25,0,0,0.527402246,0.472597755,0.472597755
3.56132849E-04,4.25294154,0.502989949,7.13026843126788e-25,0,1.57458276292084e-25,0,0,0.497010048,0.502989949,0.502989949
3.77213968E-04,4.169361272,0.529609438,1.0848449595493e-24,0,2.35637917898789e-25,0,0,0.470390562,0.529609438,0.529609438
4.03565367E-04,4.073909302,0.546266241,1.76888557305384e-24,0,3.76207882020869e-25,0,0,0.453733756,0.546266241,0.546266241
4.36504615E-04,3.961656374,0.544404819,3.17222108989433e-24,0,6.59143710000995e-25,0,0,0.455595183,0.544404819,0.544404819
4.77678676E-04,3.823333085,0.512547682,6.56403662472332e-24,0,1.33737181040963e-24,0,0,0.487452317,0.512547682,0.512547682
5.10617924E-04,3.70941999,0.459232962,1.20143375580246e-23,0,2.42964804071122e-24,0,0,0.540767038,0.459232962,0.459232962
5.36969323E-04,3.61459934,0.399878649,1.99441573496947e-23,0,4.03667226326553e-24,0,0,0.600121348,0.399878649,0.399878649
5.58050442E-04,3.53592243,0.343094286,3.04475367142001e-23,0,6.19672558858109e-24,0,0,0.656905714,0.343094286,0.343094286
5.74915337E-04,3.471238908,0.293141379,4.32128473380689e-23,0,8.86241100553517e-24,0,0,0.706858622,0.293141379,0.293141379
5.88407253E-04,3.41848668,0.251462508,5.75948875754063e-23,0,1.19092678759861e-23,0,0,0.74853749,0.251462508,0.251462508
5.99200786E-04,3.375735874,0.217840276,7.27841561573764e-23,0,1.51686419823995e-23,0,0,0.782159724,0.217840276,0.217840276
6.07835613E-04,3.341259219,0.191267113,8.79854835443234e-23,0,1.84667238493691e-23,0,0,0.808732886,0.191267113,0.191267113
6.14743474E-04,3.313558513,0.170491859,1.02538685436961e-22,0,2.16535710256093e-23,0,0,0.82950814,0.170491859,0.170491859
6.20269763E-04,3.291337205,0.154334057,1.1598330564537e-22,0,2.46203032564269e-23,0,0,0.845665943,0.154334057,0.154334057
6.24690794E-04,3.273523621,0.14178089,1.28051355227385e-22,0,2.73000394238125e-23,0,0,0.858219111,0.14178089,0.14178089
6.28279629E-04,3.259066987,0.131876388,1.38797973429504e-22,0,2.96986630837393e-23,0,0,0.868123614,0.131876388,0.131876388
6.31837235E-04,3.244743723,0.122378752,1.50372060663255e-22,0,3.22941532321506e-23,0,0,0.877621246,0.122378752,0.122378752
6.35375738E-04,3.23047513,0.113267789,1.62869968894261e-22,0,3.51100251269765e-23,0,0,0.886732209,0.113267789,0.113267789
6.38904314E-04,3.216256789,0.104530564,1.76389804716006e-22,0,3.81705715800888e-23,0,0,0.895469435,0.104530564,0.104530564
6.42433484E-04,3.202066286,0.096154406,1.91052389417636e-22,0,4.15056004880693e-23,0,0,0.903845596,0.096154406,0.096154406
6.45974324E-04,3.18786352,0.088127513,2.06999889981626e-22,0,4.51502679078852e-23,0,0,0.911872488,0.088127513,0.088127513
6.49538962E-04,3.173578549,0.080439778,2.24405507523782e-22,0,4.91473919998852e-23,0,0,0.919560224,0.080439778,0.080439778
6.53140358E-04,3.159175189,0.073081876,2.43473992387169e-22,0,5.35477910723729e-23,0,0,0.926918124,0.073081876,0.073081876
6.56793786E-04,3.144624842,0.066043961,2.6445837506627e-22,0,5.84143540833082e-23,0,0,0.933956038,0.066043961,0.066043961
6.60517015E-04,3.129869522,0.059317393,2.87675266584212e-22,0,6.38258782423289e-23,0,0,0.940682607,0.059317393,0.059317393
6.64331057E-04,3.114805859,0.052895265,3.13529057691624e-22,0,6.98831082331751e-23,0,0,0.947104736,0.052895265,0.052895265
6.68259901E-04,3.099364126,0.046772952,3.42524994378356e-22,0,7.67124798175338e-23,0,0,0.953227046,0.046772952,0.046772952
6.72334196E-04,3.083464509,0.040945427,3.75329255992661e-22,0,8.44810719401154e-23,0,0,0.959054574,0.040945427,0.040945427
6.76591819E-04,3.066979316,0.035410929,4.12830241011463e-22,0,9.34123293727434e-23,0,0,0.964589071,0.035410929,0.035410929
6.81081454E-04,3.049681091,0.030170834,4.56251823872199e-22,0,1.03814883114737e-22,0,0,0.969829166,0.030170834,0.030170834
6.85864751E-04,3.031435394,0.025231004,5.072681881883e-22,0,1.16113396867815e-22,0,0,0.974768997,0.025231004,0.025231004
6.91029665E-04,3.011962969,0.020599179,5.68372794713808e-22,0,1.30942098598244e-22,0,0,0.97940082,0.020599179,0.020599179
6.96696354E-04,2.990810199,0.016293286,6.43323973053129e-22,0,1.49261842867445e-22,0,0,0.983706713,0.016293286,0.016293286
7.03036581E-04,2.967509336,0.012342879,7.38026129583764e-22,0,1.72592093554225e-22,0,0,0.987657118,0.012342879,0.012342879
7.10318421E-04,2.941181354,0.008790705,8.62602395053568e-22,0,2.03553604147579e-22,0,0,0.991209296,0.008790705,0.008790705
7.18962516E-04,2.910579445,0.005706611,1.03536293602978e-21,0,2.46928644111951e-22,0,0,0.994293389,0.005706611,0.005706611
7.29683547E-04,2.873608291,0.00319179,1.29310650719332e-21,0,3.12429153571221e-22,0,0,0.996808211,0.00319179,0.00319179
7.43084836E-04,2.828948713,0.001433758,1.69621234860947e-21,0,4.16391161397763e-22,0,0,0.998566244,0.001433758,0.001433758
7.59836447E-04,2.77544007,0.000466137,2.35744267067217e-21,0,5.90000136529011e-22,0,0,0.999533865,0.000466137,0.000466137
7.80775961E-04,2.711960265,9.30015370397823e-05,3.50475099654519e-21,0,8.97799765641385e-22,0,0,0.999906999,9.30015370397823e-05,9.30015370397823e-05
8.06950354E-04,2.637482538,9.88084403337045e-08,5.62998548249286e-21,0,1.48289917125787e-21,0,0,0.999999902,9.88084403337101e-08,9.88084403337116e-08
8.39668345E-04,2.551162738,1.21244845109223e-07,9.87239583984664e-21,0,2.6874000777217e-21,0,0,0.999999879,1.21244845109232e-07,1.21244845109235e-07
8.80565833E-04,2.452484278,1.54221638178487e-07,1.90821490334825e-20,0,5.39891061377266e-21,0,0,0.999999846,1.54221638178506e-07,1.54221638178512e-07
9.26367749E-04,2.352150288,1.98516530357124e-07,3.80488728830827e-20,0,1.12088788022848e-20,0,0,0.999999801,1.98516530357162e-07,1.98516530357173e-07
9.74748361E-04,2.256002658,2.5488880917392e-07,7.52308023199546e-20,0,2.3063431913372e-20,0,0,0.999999744,2.54888809173995e-07,2.54888809174018e-07
1.02589980E-03,2.163773935,3.2653882666586e-07,1.47622756143924e-19,0,4.70736232370389e-20,0,0,0.999999674,3.26538826666008e-07,3.26538826666055e-07
1.07998230E-03,2.075248306,4.1743066867818e-07,2.8754489393245e-19,0,9.53277472573911e-20,0,0,0.999999583,4.17430668678468e-07,4.17430668678563e-07
1.13711823E-03,1.990349129,5.32400715425479e-07,5.55782055579259e-19,0,1.91466474664559e-19,0,0,0.999999468,5.32400715426035e-07,5.32400715426227e-07
1.19747975E-03,1.908919775,6.77522637036745e-07,1.06618966203716e-18,0,3.81494099151081e-19,0,0,0.999999321,6.77522637037811e-07,6.77522637038193e-07
1.26124432E-03,1.830808491,8.60320206923834e-07,2.03030115811468e-18,0,7.54177652455433e-19,0,0,0.999999136,8.60320206925865e-07,8.60320206926619e-07
1.32859387E-03,1.755842804,1.09010038138107e-06,3.83820615698214e-18,0,1.47944375457178e-18,0,0,0.99999891,1.0901003813849e-06,1.09010038138638e-06
1.39968616E-03,1.683969739,1.37815340499331e-06,7.20183167049e-18,0,2.87913838776596e-18,0,0,0.999998623,1.37815340500052e-06,1.37815340500339e-06
1.47474886E-03,1.615014441,1.73864067023783e-06,1.3417086591309e-17,0,5.56068990621529e-18,0,0,0.99999826,1.73864067025125e-06,1.73864067025681e-06
1.55396820E-03,1.548886152,2.18868430389264e-06,2.48162711271928e-17,0,1.06575594828314e-17,0,0,0.99999781,2.18868430391746e-06,2.18868430392811e-06
1.63757979E-03,1.485445933,2.74949410797548e-06,4.55806356220189e-17,1.2153252434943e-30,2.02748898728745e-17,0,0,0.999997251,2.74949410802106e-06,2.74949410804133e-06
1.72580460E-03,1.424614715,3.44678495683197e-06,8.31384989411089e-17,3.31783814193088e-30,3.82864240513366e-17,0,0,0.99999655,3.4467849569151e-06,3.44678495695339e-06
1.81892456E-03,1.366253133,4.31242708668499e-06,1.50644151482245e-16,8.95286576143138e-30,7.17919563350745e-17,0,0,0.999995686,4.31242708683563e-06,4.31242708690743e-06
1.91717111E-03,1.310280184,5.38447746257941e-06,2.70840493776974e-16,2.37789120085031e-29,1.3349249507556e-16,0,0,0.999994616,5.38447746285025e-06,5.38447746298374e-06
