JDTDB,CalendarDate(TDB),X,Y,Z,VX,VY,VZ,LT,RG,RR,Note
2332611.500000000,A.D.1674-May-1600:00:00.0000,-3.543366818610035E+00,-4.070255760604791E+00,9.576037373530107E-02,5.612139173528323E-03,-4.604585810639384E-03,-1.083394951334128E-04,3.117260803910002E-02,5.397369768428045E+00,-2.138820366254531E-04,
2332621.500000000,A.D.1674-May-2600:00:00.0000,-3.486920424126766E+00,-4.115914750259762E+00,9.466799350962236E-02,5.677420674191992E-03,-4.527057984487258E-03,-1.101325144787520E-04,3.116015532445228E-02,5.395213647724565E+00,-2.176290824420548E-04,
2332631.500000000,A.D.1674-Jun-0500:00:00.0000,-3.429821333294439E+00,-4.160797186407233E+00,9.355780063434070E-02,5.742180993205128E-03,-4.449700684895023E-03,-1.119201049202911E-04,3.114748370125368E-02,5.393019624180458E+00,-2.208083526325603E-04,
2332641.500000000,A.D.1674-Jun-1500:00:00.0000,-3.372072137423484E+00,-4.204896418519857E+00,9.242998351910479E-02,5.807236405367272E-03,-4.370038026087279E-03,-1.136392357763211E-04,3.113458014681604E-02,5.390785442987158E+00,-2.258235870904297E-04,
2332651.500000000,A.D.1674-Jun-2500:00:00.0000,-3.313690260648382E+00,-4.248200732231245E+00,9.128474360756726E-02,5.868991467995316E-03,-4.290645697637301E-03,-1.154068279749308E-04,3.112146266224197E-02,5.388514220938971E+00,-2.284545433313602E-04,
2332661.500000000,A.D.1674-Jul-0500:00:00.0000,-3.254681501834636E+00,-4.290702133995174E+00,9.012226158723916E-02,5.932004279665263E-03,-4.209408619699450E-03,-1.170878228616720E-04,3.110812260533668E-02,5.386204461686253E+00,-2.331917176117963E-04,
2332671.500000000,A.D.1674-Jul-1500:00:00.0000,-3.195056415013990E+00,-4.332392386211122E+00,8.894273657963371E-02,5.993506184539212E-03,-4.127668568649369E-03,-1.187804095279134E-04,3.109456688767118E-02,5.383857361930423E+00,-2.372787896327097E-04,
2332681.500000000,A.D.1674-Jul-2500:00:00.0000,-3.134829958519271E+00,-4.373259419082139E+00,8.774639924890767E-02,6.052088573253362E-03,-4.046501893034519E-03,-1.205114693710894E-04,3.108079842804497E-02,5.381473427045954E+00,-2.390498657932700E-04,
2332691.500000000,A.D.1674-Aug-0400:00:00.0000,-3.074004816962395E+00,-4.413298380745494E+00,8.653342160818188E-02,6.111956515669592E-03,-3.961253778078484E-03,-1.220911674573485E-04,3.106681119122441E-02,5.379051612064531E+00,-2.447557575451838E-04,
2332701.500000000,A.D.1674-Aug-1400:00:00.0000,-3.012599912380432E+00,-4.452497818062864E+00,8.530401835975883E-02,6.169277743257752E-03,-3.878084165879574E-03,-1.237673816391698E-04,3.105262192698345E-02,5.376594817119612E+00,-2.471754339214945E-04,
