JDTDB,TDB,X,Y,Z,VX,VY,VZ,LT,RG,RR
2332128.5,1673-Jan-18,-5.379379133654734E-01,8.259677754046324E-01,5.859076326545616E-04,-1.468612894350421E-02,-9.467542079238228E-03,-7.860006786049471E-06,5.692916167271323E-03,9.856978786274376E-01,8.150193487348261E-05
2332129.5,1673-Jan-19,-5.525397437515952E-01,8.163728968083503E-01,5.779576737154643E-04,-1.451678601929142E-02,-9.721704823871087E-03,-8.039488582202554E-06,5.693399251064111E-03,9.857815219932906E-01,8.577991151788037E-05
2332130.5,1673-Jan-20,-5.669700035194805E-01,8.065253997066337E-01,5.698295099070765E-04,-1.434299749121338E-02,-9.972765759366954E-03,-8.216407153065043E-06,5.693906956463640E-03,9.858694284581987E-01,9.002791171507169E-05
2332131.5,1673-Jan-21,-5.812242766656877E-01,7.964284256988281E-01,5.615257324432941E-04,-1.416482280703794E-02,-1.022064550834704E-02,-8.390706647625388E-06,5.694439106517178E-03,9.859615673837464E-01,9.424461333568705E-05
2332132.5,1673-Jan-22,-5.952982073705163E-01,7.860851951474581E-01,5.530489880053369E-04,-1.398232288168729E-02,-1.046526592688622E-02,-8.562331989606593E-06,5.694995516666583E-03,9.860579068146814E-01,9.842870472210125E-05
2332133.5,1673-Jan-23,-6.091875014507554E-01,7.754990059297650E-01,5.444019779359691E-04,-1.379556006839097E-02,-1.070655013437369E-02,-8.731228947508104E-06,5.695575994807246E-03,9.861584134891216E-01,1.025788842349378E-04
2332134.5,1673-Jan-24,-6.228879277834634E-01,7.646732321598804E-01,5.355874573435737E-04,-1.360459812958553E-02,-1.094442254235217E-02,-8.897344241656180E-06,5.696180341345809E-03,9.862630528485490E-01,1.066938602946960E-04
2332135.5,1673-Jan-25,-6.363953197005111E-01,7.536113228827274E-01,5.266082340874951E-04,-1.340950220754113E-02,-1.117880888221190E-02,-9.060625672040134E-06,5.696808349259760E-03,9.863717890481268E-01,1.107723519965110E-04
2332136.5,1673-Jan-26,-6.497055763536134E-01,7.423168007408398E-01,5.174671676311505E-04,-1.321033879470797E-02,-1.140963623164192E-02,-9.221022251936373E-06,5.697459804162345E-03,9.864845849679387E-01,1.148130903438841E-04
2332137.5,1673-Jan-27,-6.628146640495454E-01,7.307932606153803E-01,5.081671677672959E-04,-1.300717570372301E-02,-1.163683303977633E-02,-9.378484328021433E-06,5.698134484376337E-03,9.866014022257626E-01,1.188148200675279E-04
2332138.5,1673-Jan-28,-6.757186175551415E-01,7.190443682426678E-01,4.987111932378560E-04,-1.280008203694032E-02,-1.186032915103708E-02,-9.532963664299362E-06,5.698832161019666E-03,9.867222011918972E-01,1.227763018751698E-04
2332139.5,1673-Jan-29,-6.884135413715043E-01,7.070738588074784E-01,4.891022502982222E-04,-1.258912815528062E-02,-1.208005582776857E-02,-9.684413468943693E-06,5.699552598104624E-03,9.868469410063372E-01,1.266963148413228E-04
2332140.5,1673-Jan-30,-7.008956109766239E-01,6.948855355142350E-01,4.793433912883744E-04,-1.237438564616653E-02,-1.229594577187139E-02,-9.832788351775645E-06,5.700295552650303E-03,9.869755795982427E-01,1.305736585293787E-04
2332141.5,1673-Jan-31,-7.131610740353895E-01,6.824832681369362E-01,4.694377132805022E-04,-1.215592729034490E-02,-1.250793314574321E-02,-9.978044215375295E-06,5.701060774805426E-03,9.871080737072057E-01,1.344071543907067E-04
2332142.5,1673-Feb-01,-7.252062515758269E-01,6.698709915483451E-01,4.593883568607974E-04,-1.193382702751612E-02,-1.271595359288024E-02,-1.012013810214796E-05,5.701848007976204E-03,9.872443789053886E-01,1.381956460582586E-04
